archives;Date;Nombre employes a duree indeterminee et a temps plein;Nombre de postes fixes a temps plein;Nombre employes a duree determinee;Nombre de postes a duree déterminee;Nombre employes a duree indeterminee plein temps du service;Nombre de postes fixes a plein temps;Volume total des fonds archives traites papier en metres lineaires;Nombre total unites de description decrites;Volume des nouvelles entrees au cours annee de reference papier en metres lineaires;Accroissement des fonds d’archives traites papier en metres lineaires;Nombre de nouveaux articles decrits;Nombre de places dans la salle de lecture;Nombre de jours ouverture par semaine;Nombre heures ouverture par semaine;Nombre usagers uniques de la salle de lecture ;Nombre de journees de travail en salle de lecture;Nombre unites archivistiques commandees;Nombre de reponses ecrites;Nombre de pages du site Internet;Nombre de pages vues sur le site Internet;Nombre de visiteurs uniques sur le site Internet ;Nombre de visites sur le site Internet de plus de 15 minutes;Nombre articles recherchables en ligne;Nombre de pages vues des inventaires en ligne;Nombre de visiteurs uniques utilisant les inventaires en ligne;Nombre de visites dans les inventaires en ligne de plus de 15 minutes;Nombre unites archivistiques consultables en ligne;Nombre unites archivistiques consultees en ligne;Nombre de visiteurs uniques utilisant les ressources en ligne;Nombre de visites sur les ressources en ligne;Population de la zone administrative desservie
Archives de l'État de Fribourg (AEF);2013;8;6;5;4;18130;10479;12500;581153;375;500;68344;20;4,5;39,5;670;2513;9656;540;44;1146464;10022;;;;;;;;;;
Archives de l'État de Fribourg (AEF);2014;8;6;5;4;18261;13451;14500;610650;405;512;29497;20;4,5;39,5;634;2173;9821;590;44;208439;17415;;;1960843;11145;70389;;;;;
Archives de l'État de Fribourg (AEF);2015;8;6;4;2,7;18322;10856;15000;660429;476;1314;49779;20;4,5;39,5;615;1911;8806;600;76;1215901;16271;;;1464789;9327;60567;;;;;
Archives de l'État de Fribourg (AEF);2016;8;6;4;2,6;18500;10900;15300;716000;275,76;268;55571;20;5;40;623;2356;10940;;78;288559;22320;63947;138565;1249416;10886;243561;;;;;
Archives de l'État de Fribourg (AEF);2017;9;6,6;4;2,7;19090;10879;15782;732000;482;;23561;20;5;40;619;2170;9869;;81;279665;21020;49983;;802810;12032;207568;123000;;;;
Archives de l'État de Fribourg (AEF);2018;9;6,6;7;4,25;19346;11419;15936;752000;154;;21484;20;5;40;616;2107;9555;;82;203907;19748;;;854745;14021;172409;123000;;;;
Archives de l'État de Fribourg (AEF);2019;10;6,9;8;5,5;13776;11592;16579;772000;170;546;19653;21;4;35;396;1778;7216;;90;38109;12591;15612;;38109;12591;15612;;;;;
Archives de l'État de Fribourg (AEF);2020;10;6,9;9;5,5;14738;11739;16853,5;815000;274,5;315;21103;8;4;35;366;1695;6005;;90;6758440;16591;842646;880000;6758440;16591;;;;;;
Archives de l'État de Fribourg (AEF);2021;10;6,9;8;5,5;14631;11938;17414,5;17414,5;561;170;39472;5;5;35;344;1194;6021;;112;29351;10388;12045;880000;4571315;12988;916538;;;;;
Archives de l'État de Fribourg (AEF);2022;10;7,4;13;5,5;14718;12055;19059;19059;275;;30902;5;5;35;345;1223;5896;;117;;;;880000;2250837;8323;859132;;;;;
Archives de l'État de Fribourg (AEF);2023;10;7,4;16;5,5;15223;12437;19620;913860;561;;27958;5;5;35;301;1164;22310;593;138;44205;;29524;880000;;;29524;;;;;
Archives de l'État de Fribourg (AEF);2024;10;7,4;22;5,5;14547;12736;20271;975810;218;;61950;5;5;35;349;1181;5236;520;84;48331;;37562;;39534;31975;7428;;;;;
Archives d'État de Genève (AEG);2013;20;15,6;;;15000;14631;29000;144800;81;108;5800;45;5;62;441;3663;8290;434;466;129722;;;115140;1247228;7877;20340;1971;;7877;20342;
Archives d'État de Genève (AEG);2014;19;15,6;1;0,2;;;29000;146942;158;216;2773;45;5;62;732;3402;7129;526;487;129814;105833;;116659;1252998;9372;22408;2304;;;;
Archives d'État de Genève (AEG);2015;19;15,6;5;0,7;16910;14739;29800;151029;600;180;4087;45;5;62;634;3303;7719;390;514;128605;103861;;118011;1207218;11172;24000;2568;;;;
Archives d'État de Genève (AEG);2016;19;15,15;4;0,8;17227;15047;29900;155598;100;140;4569;45;9;62;605;2707;7099;650;490;;;;122849;1417278;12134;26398;2730;;;;
Archives d'État de Genève (AEG);2017;19;15,4;7;1,3;17390;15263;30020;167027;120;550;11500;45;7;56;704;3264;10391;744;605;63246;49001;;131537;1263809;10920;26841;3101;;;957000;
Archives d'État de Genève (AEG);2018;19;15,4;5;0,75;17636;15500;30110;169709;90;142;2682;45;7;56;695;3226;9673;801;626;83751;65570;;135327;349838;11352;30312;3476;;;1233454;
Archives d'État de Genève (AEG);2019;19;15,4;7;1,4;18096;15795;30180;532978;70;80;3269;45;7;56;626;2770;8304;735;626;100632;34071;;139476;1918535;15480;;3761;;;1562544;
Archives d'État de Genève (AEG);2020;19;15,4;5;1,6;18478;16158;30360;537474;182;172;4496;45;8;56;382;1537;4193;962;649;103774;38799;;140135;1965018;15447;;3870;;;1538578;
Archives d'État de Genève (AEG);2021;19;15,4;5;1,2;18730;16373;30640;546018;280;190;8544;45;8;56;380;1555;4342;1134;649;102485;;;147000;1784627;;,;4350;,;,;1442021;
Archives d'État de Genève (AEG);2022;19;15,4;4;1,1;18730;16373;30685;552911;45;230;6893;45;6,5;52;642;1794;7233;1026;649;119177;;;152200;1790213;13411;;4538;;;1433579;
Archives d'État de Genève (AEG);2023;19;15,5;6;1,6;19254;16881;30765;560369;80;;7458;45;7;52;578;1765;5435;915;709;118926;;;159883;482012;16441;;4807;;;40903;
Archives d'État de Genève (AEG);2024;19;15,25;6;1,8;19254;16881;30795;568135;30;;7766;45;7;52;619;1958;8182;886;736;90000;;;166744;519186;15510;;5151;;;43656;
Archives cantonales jurassiennes (ArCJ);2013;4;3;3;1;1070;1632;3980;142255;22;12;14364;16;5;44;210;110;805;439;8;;;;97821;;;;;;;;
Archives cantonales jurassiennes (ArCJ);2014;4;3;3,5;1;1070;1632;4020;163772;80;120;21017;16;5;44;;193;974;513;;;;;141518;;;;141518;;;;
Archives cantonales jurassiennes (ArCJ);2015;;;;;;;;188154;;;24882;;;;;;;;;;;;;;;;;;;;
Archives cantonales jurassiennes (ArCJ);2016;4;3;13;3,8;1886;;4000;206447;;;18293;16;5;36;;;1226;539;29;14983;11611;6;157600;103988;18910;;;;;;
Archives cantonales jurassiennes (ArCJ);2017;4;2,8;12;3,9;1860;;4200;217688;200;;11241;16;5;33;;;1115;482;24;;;;163249;;;;;;;;
Archives cantonales jurassiennes (ArCJ);2018;4;2,8;18;2,8;1854;;4250;231241;50;;13553;16;5;33;137;341;993;576;19;10697;8529;;166229;;;;;;;;
Archives cantonales jurassiennes (ArCJ);2019;4;2,8;22;4,15;1850,8;;4311;245936;61;;14695;16;5;33;134;465;854;488;19;11037;8795;;174403;;;;;;;;
Archives cantonales jurassiennes (ArCJ);2020;4;2,8;16;3,3;;;4214;274367;55;;28431;15;5;14,6;87;327;663;464;21;11704;9257;;201653;;;;5593;;;;
Archives cantonales jurassiennes (ArCJ);2021;4;2,8;17;3,4;;;4335;289288;141;121;14921;16;5;23,3;131;318;1059;478;21;11385;9124;;206490;;;;6248;;;;
Archives cantonales jurassiennes (ArCJ);2022;4;2,8;18;2,94;2515;1864,7;4420;298168;35;64,88;11633;16;5;33;234;314;816;84;21;6258;4716;;211668;;;;6248;;;;
Archives cantonales jurassiennes (ArCJ);2023;4;2,8;16;1,76;2470;1868,3;4466,7;309598;223;66,7;11430;16;5;33;;487;1284;;25;13506;10013;;221057;;;;6474;;;;
Archives cantonales jurassiennes (ArCJ);2024;4;2,8;21;3,19;2378;1882;4527,71;319918;84,35;61,01;10320;16;5;33;;578;1755;;25;;;;225104;;;;6474;;;;
Archives de l'État de Neuchâtel (AEN);2013;8;6,7;5;2,2;2649;2232;9200;90858;104;100;13658;12;4;36;189;677;6391;432;7;;;;;;;;;;;;
Archives de l'État de Neuchâtel (AEN);2014;8;6,7;6;1,5;2750;2315;9620;98898;420;80;8040;12;4;36;240;916;8531;466;7;;;;68332;;;;;;;;
